month,trades,pnl,wins,avg_pnl,best,worst,wr
2024-03,2,102.0,2,51.0,68.0,34.0,100.0
2024-05,5,56.0,3,11.2,129.0,-118.0,60.0
2024-07,3,37.0,1,12.333333333333334,95.0,-34.0,33.33333333333333
2024-09,1,-36.0,0,-36.0,-36.0,-36.0,0.0
2024-12,1,35.0,1,35.0,35.0,35.0,100.0
2025-01,3,-58.0,1,-19.333333333333332,62.0,-60.0,33.33333333333333
2025-03,3,14.0,2,4.666666666666667,63.0,-67.0,66.66666666666666
2025-05,3,143.0,2,47.666666666666664,134.0,-77.0,66.66666666666666
2025-07,4,8.0,2,2.0,80.0,-42.0,50.0
2025-11,1,-94.0,0,-94.0,-94.0,-94.0,0.0
2026-03,2,560.0,2,280.0,290.0,270.0,100.0
